114DNS,114.114.114.114,114.114.115.115
DNSPod DNS+,119.29.29.29,182.254.116.116
DNS 派,101.226.4.6,218.30.118.6
DNS 派 联通,123.125.81.6,140.207.198.6
cnnicDNS,1.2.4.8,210.2.4.8
GoogleDNS,8.8.8.8,8.8.4.4
CloudflareDNS,1.1.1.1,1.0.0.1
IBM Quad9DNS,9.9.9.9
OpenDNS,208.67.222.222,208.67.220.220
阿里云DNS,223.5.5.5,223.6.6.6
百度云DNS,180.76.76.76
微软云DNS,4.2.2.1,4.2.2.2
字节跳动DNS,180.184.1.1,180.184.2.2
中華電信DNS,168.95.192.1,168.95.1.1
赛门铁克诺顿DNS,199.85.126.10,199.85.127.10
oracle+dynDNS,216.146.35.35,216.146.36.36
瑞士瑞信银行DNS,64.6.64.6,64.6.65.6
Public DNS+,119.29.29.29,182.254.116.116